Company_name,layoff_size,dates,Ticker
ASSOCIATED THIRD PARTY ADMINISTRATORS,303.0,"['2014-11-14', '2016-10-20', '2016-10-21']",
ASSOCIATED WHOLESALE GROCERS,300.0,"['2014-03-10', '2017-07-19', '2023-07-25']",
"ASSOCIATION FOR METROAREA AUTISTIC CHILDREN, INC.",1256.0,"['2013-12-31', '2014-10-01', '2019-02-04', '2019-04-17', '2020-04-10', '2020-06-08', '2021-11-23', '2022-05-16']",MU
"ASSOCIATION FOR NEUROLOGICALLY IMPAIRED BRAIN INJURED CHILDREN, INC. (ANIBIC)",25.0,['2018-04-23'],
"ASSOCIATION MEMBER BENEFITS ADVISOR, LLC",1016.0,"['2017-11-16', '2023-04-06', '2023-04-20', '2025-05-30']",VRT
ASSURANCE,112.0,['2024-05-01'],7IQ.F
ASSURANT,756.0,"['2009-12-14', '2019-03-01', '2023-10-01', '2025-05-01']",AIZ
ASSURANT HEALTH,567.0,"['2015-06-15', '2020-04-22', '2023-01-25']",
ASSURANT MOBILE SOLUTIONS- BROADTECH LLC,323.0,"['2014-07-23', '2018-01-03', '2020-08-07']",
ASSURANT SOLUTIONS,237.0,"['2012-03-29', '2017-11-02']",
ASSURANT SPECIALTY PROPERTY,259.0,"['2009-12-01', '2009-12-07', '2009-12-11', '2009-12-14', '2009-12-18', '2009-12-21', '2009-12-31', '2010-01-04', '2010-01-15', '2010-01-18', '2010-01-29', '2010-02-28', '2010-06-30']",
ASSURANT VALUATION,62.0,['2017-11-02'],
"AST TEXTILE GROUP, INC.",469.0,"['2013-06-03', '2019-11-27', '2020-03-23', '2020-04-18', '2020-05-14', '2020-05-20']",MU
ASTADIA,128.0,"['2015-10-27', '2022-12-05']",
ASTAR AIR CARGO,541.0,"['2010-01-05', '2012-06-05']",
"ASTAR AIR CARGO, INC.",312.0,"['2010-01-07', '2022-11-01']",MU
ASTEC INDUSTRIES INC AND TELSMITH INC,306.0,"['2016-03-18', '2020-06-08']",
ASTEC UNDERGROUND DBA GEFCO LOUDON,21.0,['2014-05-22'],
ASTEELFFASH US EAST CORPORATION,617.0,"['2013-06-28', '2013-10-18', '2014-03-28', '2014-06-09', '2020-04-29']",
"ASTELLAS GENE THERAPIES, INC.",437.0,"['2020-04-17', '2020-05-01', '2020-05-19', '2024-06-20', '2024-08-27', '2024-10-29']",MU
"ASTELLAS US HOLDING, INC.",193.0,"['2011-12-12', '2019-12-03', '2020-12-01', '2026-04-10']",MU
"ASTEMO AMERICAS, INC",101.0,"['2023-02-24', '2026-03-27']",MU
ASTER HALL,197.0,"['2013-08-25', '2020-11-05', '2024-11-12']",
ASTON WAIKIKI BEACH,158.0,"['2020-03-26', '2020-06-12']",
"ASTORIA APPLE, LLC",189.0,"['2020-03-25', '2020-04-06']",VRT
ASTOUND BROADBAND,90.0,['2023-03-17'],
ASTRA SPACE INC.,403.0,"['2012-07-30', '2022-11-09', '2022-11-10', '2022-12-01']",
ASTRATE MEDICAL,31.0,"['2020-04-13', '2024-02-05']",
ASTRAZENECA,1124.0,"['2010-05-13', '2013-05-31', '2016-09-01', '2016-12-15', '2019-01-08']",AZN
"ASTREYA PARTNERS, LLC AT META PLATFORMS INC. FACILITY",144.0,['2022-10-18'],
ASTRION,1603.0,"['2011-08-04', '2014-11-03', '2014-11-04', '2014-12-10', '2016-09-30', '2017-07-18', '2020-06-11', '2022-05-02', '2022-11-06', '2025-03-01', '2025-09-01', '2026-02-09', '2026-03-01', '2026-04-01']",
"ASTRONICS TEST SYSTEMS, INC.",92.0,"['2014-10-07', '2020-05-12']",MU
ASTS MANAGEMENT - RAMPART OFFICE,131.0,"['2020-04-13', '2020-04-16']",
ASURION (NEW),682.0,['2015-05-07'],
ASURION LLC,1010.0,"['2014-06-06', '2019-07-31', '2021-05-01', '2023-08-09', '2024-02-08', '2024-02-23', '2025-02-05']",
ASWPENGG LLC,122.0,['2020-05-11'],
AT & T,68.0,['2015-09-14'],T
"AT APPLE, LLC",175.0,['2020-03-25'],VRT
AT HOME,228.0,"['2013-02-05', '2023-03-15', '2024-07-01', '2025-06-01']",PETS.L
AT HOME CORPORATE,776.0,"['2020-04-13', '2020-04-17']",
AT HOME WITH SHANEL,88.0,"['2020-01-28', '2020-08-06']",
AT THE FARM,1051.0,"['2011-12-15', '2018-09-05', '2018-10-01', '2019-06-26', '2021-02-26', '2025-09-01']",
AT&T,2684.0,"['2010-01-19', '2010-02-12', '2010-03-09', '2010-03-15', '2010-06-15', '2011-02-07', '2011-04-04', '2013-01-22', '2015-02-17', '2015-09-14', '2015-11-16', '2015-11-20', '2015-12-28', '2016-01-11', '2016-10-31', '2016-11-29', '2017-04-18', '2017-10-02', '2018-06-01', '2018-06-14', '2018-08-01', '2018-08-20', '2019-01-29', '2019-12-02', '2020-01-10', '2020-01-21', '2020-02-21', '2020-07-27', '2020-09-08', '2020-09-22', '2023-04-01', '2023-06-01', '2023-06-26', '2023-08-01', '2024-07-31', '2024-08-01', '2024-08-26', '2024-11-01', '2024-11-26', '2024-12-03', '2024-12-17', '2025-01-23', '2025-03-14', '2026-02-01', '2026-04-01']",T
"AT&T (M&E MARKETING UNIT) (1 ROCKEFELLER PLAZA, NYC)",54.0,['2020-07-23'],SF=F
AT&T - 5001,56.0,['2024-06-25'],
AT&T - DALLAS,280.0,['2017-12-14'],
AT&T - SAN ANTONIO4,61.0,['2011-04-11'],
AT&T ABS GLOBAL CUSTOMER SERVICE,556.0,"['2009-12-29', '2010-04-19', '2010-05-17', '2010-05-24', '2010-05-28', '2010-06-29', '2010-07-20', '2010-08-08', '2015-05-18', '2015-05-27', '2024-02-19']",
AT&T ALABAMA,163.0,"['2013-03-15', '2022-12-13', '2025-06-20']",
AT&T BUSINESS SOLUTIONS,674.0,"['2010-10-01', '2011-02-22', '2012-04-01', '2014-05-13', '2014-12-09']",
AT&T BUSINESS SOLUTIONS (ABS) GLOBAL CUSTOMER SERVICE,61.0,['2011-10-28'],
AT&T CALL CENTER (MERIDEN),46.0,['2019-05-03'],
"AT&T COMMUNICATIONS, INC.",896.0,"['2010-09-30', '2013-11-02', '2017-12-14', '2018-03-22', '2018-06-19', '2018-07-18', '2019-07-12', '2026-03-18']",MU
AT&T CONTACT CENTER,100.0,['2016-11-10'],
AT&T CORP,171.0,"['2010-05-14', '2010-08-01', '2010-08-20', '2020-09-08']",9563.T
AT&T CORPORATION,3185.0,"['2010-09-22', '2015-03-16', '2015-12-07', '2016-10-10', '2018-04-01', '2020-05-11', '2020-06-09', '2020-06-11', '2020-06-15', '2020-06-18', '2020-06-19', '2020-10-02', '2022-01-13', '2025-06-17', '2025-07-03']",9563.T
AT&T CUSTOMER CARE CENTER,58.0,['2011-07-26'],
AT&T CUSTOMER INFORMATION SERVICES,460.0,"['2009-12-02', '2009-12-18', '2010-06-25', '2015-11-10', '2017-10-11', '2023-07-12']",
AT&T DSL CARE CENTER,242.0,"['2017-03-15', '2025-03-05', '2025-09-10', '2026-04-14']",
AT&T MOBILITY SERVICES,374.0,"['2012-04-27', '2016-10-28', '2023-05-01', '2024-01-16', '2024-03-15', '2024-09-09', '2024-09-10']",
"AT&T MOBILITY SERVICES, LLC/CUSTOMER",397.0,['2014-06-27'],
AT&T NETWORK OPERATIONS,5.0,"['2009-12-29', '2010-07-20', '2010-08-09']",
AT&T SERVICES,1192.0,"['2016-10-24', '2024-08-01', '2025-01-20', '2025-02-01', '2025-02-04', '2025-05-03', '2025-12-01', '2025-12-04', '2025-12-10']",
AT&T'S GLOBAL BUSINESS SOLUTIONS,181.0,"['2013-04-06', '2013-04-15']",
"AT&T, ARCHITECTURE AND COMMON SERVICES INTEGRATION",119.0,"['2009-12-29', '2020-04-07', '2020-07-29']",T
"AT&T, BUSINESS MARKETING",9.0,['2009-12-29'],T
"AT&T, CONSUMER INFORMATION TECHNOLOGY",209.0,"['2010-04-30', '2010-07-12', '2020-06-18', '2020-06-23', '2020-06-24', '2021-12-06']",T
"AT&T, CUSTOMER CONNECTIVITY SOLUTIONS",20.0,['2010-08-24'],T
"AT&T, GLOBAL ENTERPRISE SOLUTIONS",177.0,"['2009-12-29', '2010-06-25', '2011-11-04', '2011-12-02', '2026-02-26']",T
"AT&T, INFORAMTION TECHNOLOGY, APPLICATION & SVC MG",11.0,['2009-12-29'],T
"AT&T, WHOLESALE & GEM SOLUTIONS",832.0,"['2009-12-29', '2023-03-03']",T
AT&T- SUPPORT SERVICES-ATTSCO,54.0,['2017-01-27'],
AT&T-EL PASO,299.0,['2017-09-13'],
AT&T-HOUSTON,201.0,['2015-09-29'],
AT&T-MIDLAND,101.0,['2013-05-31'],
AT-BAY,52.0,"['2023-09-12', '2026-03-04']",
ATA AEROSPACE,783.0,"['2020-04-28', '2020-06-25', '2020-08-14', '2020-09-11', '2021-03-01', '2022-08-04']",
"ATA RETAIL SERVICES, LLC",1571.0,"['2011-11-30', '2014-01-22', '2017-05-01', '2017-10-16', '2018-04-09', '2018-10-15', '2020-03-19', '2020-04-14', '2020-04-27', '2021-05-01']",VRT
"ATALYS TUCSON, LLC",30.0,['2025-04-04'],VRT
ATARA BIOTHERAPEUTICS,276.0,"['2022-08-17', '2023-04-26', '2023-12-13', '2024-01-29', '2025-03-18']",ATRA
ATC/VANCOM OF ARIZONA L.P. DBA VEOLIA TRANPORT.,953.0,['2010-04-28'],
ATCO,481.0,"['2016-04-14', '2019-11-04', '2020-04-21', '2020-11-02', '2020-11-20', '2021-01-05']",ATCO-A.ST
ATCO RUBBER PRODUCTS,124.0,['2025-05-02'],
ATCO STRUCTURES,178.0,"['2016-08-15', '2020-04-22']",
ATEK METAL TECHNOLOGIES,155.0,"['2016-03-15', '2024-06-05']",
ATERA,20.0,"['2020-05-18', '2024-11-03']",
ATHAS CAPITAL,172.0,['2020-04-13'],
ATHENA HEALTH,133.0,"['2013-01-07', '2013-07-05', '2014-05-28', '2014-07-14']",
ATHENA SERVICES INTERNATIONAL,1072.0,"['2016-04-04', '2017-07-13', '2020-03-17', '2020-03-25', '2020-04-20', '2021-08-03', '2024-02-22', '2025-03-15']",
"ATHENAHEALTH, INC.",355.0,"['2016-10-25', '2023-08-01', '2024-08-05', '2024-10-08', '2024-10-25']",MU
ATHENE,204.0,['2014-01-23'],ATHS
ATHENNIAN,30.0,['2023-07-05'],
ATHENS CINEMA 4,9.0,['2020-03-26'],
ATHEROTECH DIAGNOSTIC LAB,435.0,"['2016-03-04', '2020-03-26']",
ATHLETICS INVESTMENT GROUP LLC,995.0,"['2012-11-07', '2013-03-27', '2014-01-09', '2016-04-21', '2020-04-20', '2020-11-20', '2023-01-23', '2024-07-24']",
ATHLOS ACADEMY,395.0,"['2016-09-19', '2020-05-13', '2020-06-11', '2022-09-12', '2025-03-01']",
"ATHNA FACILITY SERVICES, INC. - AFSI",556.0,"['2011-07-11', '2020-08-12', '2023-04-10']",
ATI ALBANY OPERATIONS,135.0,['2020-06-10'],
ATI CAREER TRAINING CENTER #130,306.0,['2012-11-01'],
ATI CAREER TRAINING CENTER - N. RICHLAND HILLS,50.0,['2012-11-01'],
ATI FLAT ROLLED PRODUCTS,500.0,"['2015-12-01', '2016-02-01']",
"ATI RESTORATION, LLC",164.0,"['2020-08-03', '2020-08-12', '2023-09-13']",VRT
ATK,1109.0,"['2013-10-31', '2020-03-24', '2022-08-26', '2023-02-02', '2024-02-01', '2025-02-04']",IWIRX
ATK (EAGLE INDUSTRIES UNLIMITED),325.0,['2012-04-03'],
ATK AUDIOTEK,49.0,['2020-06-06'],
ATK ENERGETIC SYSTEMS,822.0,"['2010-07-06', '2011-10-03', '2012-06-01', '2019-02-25']",
ATK MISSION SYSTEMS GROUP SPACE DIVISION NASA LANGLEY FACILITY,124.0,['2012-02-23'],
"ATKORE HDPE, LLC",174.0,"['2020-04-10', '2026-05-06']",VRT
ATKORE INTERNATIONAL,1000.0,"['2012-01-04', '2012-03-27', '2012-09-24', '2013-09-27', '2014-09-29', '2015-08-01', '2015-08-06', '2016-03-16', '2018-09-20', '2019-10-02', '2019-12-13', '2020-06-02', '2020-06-04']",ATKR
ATKORE PLASTICS SOUTHEAST,42.0,['2025-11-06'],
ATLANTA ATTACHMENT COMPANY,57.0,['2024-06-06'],
"ATLANTIC & PACIFIC GRILL ASSOCIATES, L.L.C. C/O FOURTH WALL RESTAURANTS, LLC (PARK AVENUE CAFÉ)",135.0,['2013-10-07'],
"ATLANTIC & PACIFIC TEA COMPANY (C/O SUPERFRESH FOOD MARKETS, INC.)",300.0,"['2015-08-12', '2020-03-20']",MU
ATLANTIC CITY LINEN SUPPLY LLC*,123.0,['2020-09-10'],
ATLANTIC COAST MEDIA GROUP,725.0,"['2010-12-01', '2012-02-01', '2020-03-31']",
ATLANTIC COAST RECYCLING OCEAN LLC,73.0,['2022-11-01'],
ATLANTIC COFFEE SOLUTIONS,335.0,"['2013-01-30', '2018-04-16', '2019-02-28']",
"ATLANTIC DETROIT DIESEL-ALLISON, LLC",24.0,['2011-08-05'],VRT
ATLANTIC DOMINION DISTRIBUTORS,104.0,['2025-07-30'],
"ATLANTIC EXPRESS OF MO, INC",1218.0,"['2010-03-19', '2020-06-23', '2020-06-29', '2020-09-18', '2020-09-21']",MU
"ATLANTIC EXPRESS OF NEW JERSEY, INC.",125.0,['2013-11-01'],MU
ATLANTIC EXPRESS TRANSPORTATION CORP & MERIT TRANSPORTATION CORP.,479.0,['2013-11-13'],
ATLANTIC EXPRESS TRANSPORTATION CORP.,3609.0,"['2010-04-29', '2013-11-01', '2020-02-25']",
ATLANTIC EXPRESS TRANSPORTATION CORP./AMBOY BUS COMPANY INC.,306.0,"['2013-07-19', '2013-11-13']",
"ATLANTIC EXPRESS TRANSPORTATION CORP./AMBOY BUS COMPANY, INC./ATLANTIC ESCORTS INC.,/ATLANTIC QUEENS BUS CORP.",1898.0,['2013-11-13'],
"ATLANTIC EXPRESS TRANSPORTATION CORP./AMBOY BUS COMPANY, INC./ATLANTIC ESCORTS INC.,/ATLANTIC QUEENS BUS CORP./ATLANTIC HUDSON, INC/MIDWAY LEASING INC.",790.0,['2013-11-13'],
"ATLANTIC PARATRANS OF NYC, INC.",610.0,['2010-10-05'],MU
"ATLANTIC RECORDING CORPORATION, INC.",132.0,"['2010-02-12', '2021-01-29']",MU
ATLANTIC UNION BANKSHARES CORPORATION (ATLANTIC UNION),100.0,"['2025-02-14', '2025-08-18']",
"ATLANTIC VEAL & LAMB, LLC",73.0,['2020-03-27'],VRT
ATLANTICE COAST FIBERS LLC,354.0,"['2012-05-17', '2022-11-01']",
ATLANTIS HEALTH PLAN,54.0,"['2011-01-01', '2011-02-22', '2011-04-25', '2011-06-29']",
ATLAS,150.0,['2023-08-23'],TEAM
"ATLAS HEALTH CARE LINEN SERVICES CO., LLC D/B/A CLARUS LINEN SYSTEM",341.0,['2018-12-19'],
"ATLAS HOSPITALITY GROUP, LLC",186.0,"['2010-02-19', '2020-04-10', '2026-04-30']",VRT
ATLASSIAN,2450.0,"['2023-03-06', '2025-07-30', '2025-09-10', '2026-03-11']",TEAM
"ATLASSIAN US, INC.",639.0,"['2023-03-08', '2024-05-20', '2026-03-11', '2026-03-12']",MU
ATMOSPHERE,337.0,"['2012-08-01', '2013-03-01', '2022-12-14', '2023-07-10', '2023-12-07', '2024-05-15']",
ATOB,113.0,"['2022-06-22', '2022-06-29', '2022-10-19', '2022-12-12']",ATOBX
ATOME,24.0,"['2022-10-06', '2024-04-16', '2024-10-02']",ATOM
"ATOS IT SOLUTIONS & SERVICES, INC.",487.0,"['2013-12-26', '2013-12-30', '2014-01-01', '2014-01-03', '2014-02-28', '2017-10-11']",MU
ATOS ORIGIN - AUSTIN,82.0,"['2011-06-17', '2020-04-23']",
"ATP2, LLC-FINANCIAL SERVICE CENTER",259.0,['2018-07-28'],
ATRIA PARADISE,67.0,['2018-12-13'],
ATRIA SENIOR LIVING,200.0,"['2010-05-20', '2013-09-26', '2022-10-11']",
ATRIA SENIOR LIVING GROUP - STERLING GLEN CORE AT HOME,290.0,"['2010-05-20', '2020-09-10']",
ATRIA WEALTH SOLUTIONS,137.0,"['2025-05-02', '2025-05-14']",
ATRIUM,103.0,['2020-05-05'],RNA
ATRIUM AT HAMILTON PARK,75.0,['2012-11-01'],
ATRIUM CORPORATION,609.0,"['2010-04-14', '2012-01-03', '2014-10-08', '2016-10-20', '2023-02-28', '2024-01-24', '2025-01-15']",
ATRIUM HOPITALITY,1023.0,"['2020-03-26', '2020-05-04', '2020-05-11', '2020-05-13', '2020-05-18', '2024-12-18']",
ATRIUM HOSPITALITY (HOLIDAY INN & SUITES),60.0,['2020-04-30'],
ATRIUM HOSPITALITY (MARRIOTT),104.0,['2020-04-30'],
ATRIUM HOSPITALITY - CHARLOTTE HILTON AIRPORTCOVID19,95.0,['2020-04-24'],
ATRIUM HOSPITALITY - EMBASSY SUITES,296.0,"['2013-05-15', '2014-05-08', '2020-05-12', '2020-05-19', '2020-06-26']",
ATRIUM HOSPITALITY - EMBASSY SUITES BY HILTON GREENSBOROCOVID19,193.0,['2020-04-24'],
ATRIUM HOSPITALITY - JEFFERSON CITY CAPITOL PLAZA,108.0,['2020-05-18'],
ATRIUM HOSPITALITY - PORTLAND EMBASSY S,105.0,['2020-05-13'],
ATRIUM HOSPITALITY - SPRINGFIELD UNIVERSITY PLAZA,112.0,['2020-05-11'],
ATRIUM HOSPITALITY DBA EMBASSY SUITES FRANKLIN,201.0,"['2020-04-06', '2020-05-20']",
ATRIUM HOSPITALITY DBA EMBASSY SUITES MURFREESBORO,119.0,['2020-05-20'],
ATRIUM HOSPITALITY DBA LONG BEACH HILTON,500.0,"['2013-06-01', '2020-04-07', '2020-04-13', '2020-04-17', '2022-04-08', '2025-10-27']",
ATRIUM HOSPITALITY DBA SACRAMENTO HOLIDAY INN,303.0,"['2020-03-01', '2020-04-10', '2020-04-13', '2020-04-30']",
ATRIUM HOSPITALITY LP/DENVER CROWNE PLAZA,174.0,"['2021-08-06', '2024-03-27', '2024-08-14']",
ATRIUM HOSPITALITY- CONCORD EMBASSY SUITES COVID19,155.0,['2020-04-24'],
ATRIUM HOSPITALITY-HOLIDAY INN BOWLING GREEN,100.0,['2020-04-30'],
ATRIUM HOSPITALITY: CHATEAU ON THE LAKE RESORT SPA & CONVENTION CENTER,115.0,['2020-04-29'],
ATSU,6.0,['2020-04-10'],3529.T
ATTALA STEELE INDUSTRIES (HILSBORO PLANT),631.0,"['2013-10-31', '2023-06-01', '2024-05-10']",
ATTICUS LLC (TO KILL A MOCKINGBIRD AT THE SHUBERT THEATRE),72.0,['2020-06-19'],
ATWOOD LAKE RESORT (PROSPERA HOSPITALITY),122.0,['2010-08-06'],
ATWOOD MOBILE PRODUCTS,476.0,"['2015-04-28', '2015-12-15', '2016-12-08']",
ATWOOD OCEANICS MANAGEMENT,139.0,"['2017-01-27', '2017-10-05']",
AU10TIX,19.0,['2023-01-31'],
AUBERGE DU SOLEIL,379.0,"['2020-03-30', '2021-01-08']",
"AUBURN ARMATURE, INC.(ALBANY)",78.0,['2017-04-21'],
"AUBURN ARMATURE, INC.(CHEEKTOWAGA)",31.0,['2017-04-21'],
"AUBURN ARMATURE, INC.(EAST SYRACUSE)",9.0,['2017-04-21'],
"AUBURN AUTO, INC DBA AUBURN TOYOTA",73.0,['2020-05-18'],
"AUBURN YMCA - WEIU, INC.",359.0,['2020-04-29'],MU
AUCTIONS.COM,67.0,['2020-06-18'],
AUDI CONCORD,41.0,['2020-04-22'],
AUDI WEST PALM BEACH,31.0,['2020-03-31'],
AUDIBLE,206.0,"['2020-06-04', '2023-04-13', '2024-01-11', '2025-10-01']",
AUDIBLE INC.,62.0,['2024-01-01'],
"AUDIO COMMAND SYSTEMS, INC.",169.0,"['2020-04-07', '2020-04-20']",MU
AUDIOCODES,160.0,"['2023-05-09', '2023-07-13']",AUDC
AUDIOLOGY SERVICES COMPANY USA LLC,23.0,['2022-12-01'],
AUDITORY ORAL SCHOOL OF NEW YORK,87.0,"['2018-03-13', '2020-03-23']",
"AUDLEY TRAVEL US, INC",238.0,"['2020-11-05', '2024-10-21', '2026-02-23']",MU
AUDUBON NATURE INSTITUTE,532.0,['2020-09-24'],
"AUDVAL, INC. DBA AUDI VALENCIA",36.0,['2020-06-03'],
AUGSBURG UNIV. MCNAIR PROGRAM,5.0,['2025-09-01'],
AUGURY,150.0,"['2023-01-04', '2023-08-02', '2025-07-10']",
AUGUSTA SPORTSWEAR BRANDS - COBURG,52.0,['2020-04-16'],
"AUGUSTA SPORTSWEAR, INC",434.0,"['2020-03-25', '2025-10-07', '2025-10-08', '2026-05-13']",MU
AUGUSTANA CARE CENTER 2019,361.0,['2019-12-01'],
AUGUSTINE CASINO,135.0,"['2020-05-13', '2024-10-22']",
AULTMAN ALLIANCE COMMUNITY HOSPITAL DBA COMMUNITY CARE CENTER FACILITY,192.0,"['2018-06-28', '2023-02-01']",
AULTMAN HOSPITAL,97.0,['2023-02-01'],
AUNT MILLIE'S,74.0,['2018-11-05'],
AURA,70.0,['2022-06-23'],AURA
AURA MANAGEMENT CO,336.0,"['2024-04-16', '2024-04-18']",
"AURINIA PHARMA U.S., INC.",80.0,['2024-12-17'],MU
"AUROLIFE PHARMA, LLC",99.0,['2022-03-01'],VRT
AURORA BANK,151.0,"['2012-03-01', '2012-07-07']",
"AURORA BANK FSB, AURORA LOAN SERVICES",1023.0,"['2012-03-01', '2012-04-23', '2012-04-24', '2012-05-25']",
AURORA HEALTH & FITNESS,52.0,['2020-03-31'],
AURORA LABS,214.0,"['2024-01-30', '2025-01-16', '2025-01-27']",A3D.XA
AURORA MENTAL HEALTH & RECOVERY,91.0,['2026-04-30'],
AURORA SOLAR INC.,173.0,"['2024-02-13', '2025-01-15']",
"AURORA VISTA DEL MAR, LLC (HOSPITAL)",251.0,"['2013-03-29', '2018-01-09']",
AURORIUM,318.0,['2023-08-02'],
AUSTAD'S GOLF,15.0,"['2016-08-21', '2018-01-19']",
AUSTIN AMERICAN STATESMAN,385.0,"['2015-05-01', '2018-09-28', '2019-08-20']",
AUSTIN HOTEL AND RESIDENCES,1357.0,"['2010-10-13', '2013-06-28', '2014-05-01', '2016-05-09', '2020-03-21', '2020-05-01', '2020-05-22', '2025-12-12']",
"AUTHENTICOM, INC.",95.0,"['2017-11-08', '2024-01-12']",MU
AUTISM HOME SUPPORT SERVICES,422.0,['2023-06-20'],
AUTISM HOME SUPPORT SERVICES (CENTENNIAL),1742.0,"['2012-03-08', '2012-03-22', '2012-03-27', '2012-04-02', '2012-04-10', '2012-04-12', '2012-04-20', '2012-04-24', '2014-02-20', '2014-04-29', '2014-07-31', '2020-03-25', '2023-06-20']",
"AUTISM SPECTRUM INTERVENTIONS, INC",226.0,['2020-05-04'],MU
AUTO DEALERS EXCHANGE OF CONCORD,44.0,['2020-08-04'],
AUTO DEALERS EXCHANGE OF MEMPHIS (ADESA),35.0,['2020-07-01'],
AUTO EXCHANGE DEALERS OF MEMPHIS - EAST TENNESSEE,36.0,['2020-08-05'],
"AUTO MISSION, LTD. DBA AUTONATION TOYOTA HAYWARD",44.0,['2020-05-23'],
AUTO PLUS AUTO PARTS,20.0,"['2020-03-01', '2021-04-13']",
"AUTO SQUARE AUTOS INC., DBA CERRITOS ACURA",70.0,"['2020-04-11', '2020-09-08']",
"AUTO TOWN, INC DBA TOYOTA TOWN",61.0,['2020-05-15'],
"AUTO TRUCK TRANSPORT USA, INC.",237.0,"['2009-11-24', '2020-05-28']",MU
AUTO WAREHOUSE COMPANY,96.0,['2012-06-22'],
AUTO WAREHOUSING CO.,55.0,['2010-01-20'],
"AUTOALERT, LLC",279.0,"['2019-09-27', '2020-03-31']",VRT
AUTOBAHN IMPORTS,224.0,"['2020-03-24', '2024-03-12']",
AUTOCRAFT HAWAII LLC,58.0,['2025-12-01'],
AUTODESK,3282.0,"['2022-08-17', '2023-02-02', '2025-02-27', '2026-01-22', '2026-01-23']",ADSK
"AUTODESK, INC",699.0,"['2012-11-05', '2016-02-05', '2017-12-04', '2022-01-05', '2022-04-04', '2023-02-15', '2025-02-28']",ADSK
"AUTOFORM TOOL & MFG., LLC",480.0,['2020-03-31'],VRT
AUTOGRAPH,30.0,"['2022-12-16', '2023-05-04']",
"AUTOMATED HARVESTING, LLC.",46.0,['2026-01-30'],VRT
AUTOMATIC,281.0,"['2020-05-01', '2025-04-02']",ADP
AUTOMATION ANY...,260.0,['2020-04-27'],ATOHZZX
AUTOMOBILE CLUB OF MISSOURI,95.0,['2020-11-30'],
"AUTOMOTIVE COMPONENT CARRIER, INC.",322.0,"['2012-09-10', '2018-05-29', '2020-05-04', '2023-08-23']",MU
"AUTOMOTIVE COMPONENTS HOLDING, LLC AMENDED NOTICES",52.0,['2010-10-28'],
AUTOMOTIVE COMPONENTS HOLDINGS,257.0,['2014-10-20'],
AUTOMOTIVE TITLING COMPANY,3414.0,"['2020-04-22', '2020-04-25', '2020-09-02', '2021-11-26', '2021-11-29', '2021-11-30', '2022-01-05', '2022-01-25', '2022-01-28', '2022-03-17', '2022-03-23', '2022-07-11', '2022-08-15']",
AUTOMOTIVE TRAINING INSTITUTE,54.0,['2020-03-30'],
AUTOTRADE CLASSICS,74.0,['2011-05-18'],
"AUTOTRADER.COM, INC.",19.0,['2017-07-11'],MU
AUTUMN CARE OF FOREST CITY,240.0,"['2011-06-28', '2014-02-28', '2020-06-23']",
AUTUMN LAKE HEALTHCARE AT SOUTH HAVEN,92.0,['2023-07-19'],
AUTUMN SMILE BROADWAY LLC (DEAR EVAN HANSEN AT THE MUSIC BOX THEATRE),144.0,"['2020-06-16', '2021-12-16', '2021-12-21', '2022-02-10']",
"AUTUMN SMILE, US TOUR, LLC",73.0,['2020-06-17'],VRT
AUXITROL WESTON USA,394.0,"['2020-04-15', '2020-04-25', '2020-07-24']",
"AVALON BH HM, LLC - AVALON HOTEL BEVERLY HILLS",122.0,"['2020-06-02', '2020-09-01']",
AVALON PRECISION METALSMITHS,1389.0,"['2011-04-04', '2013-01-17', '2022-03-04', '2025-09-05']",
"AVALON PS HM LLC, DBA AVALON PALM SPRINGS",144.0,"['2020-04-17', '2020-09-01']",
"AVALON PS HM LLC, DBA INGLESIDE & MELVYN'S RESTAURANT",497.0,"['2018-10-31', '2020-04-17', '2021-01-06']",
"AVALON PS HM, LLC",34.0,['2021-01-05'],VRT
AVAMERE GEORGIAN HOUSE OF LAKEWOOD,69.0,['2014-11-12'],
AVANCEZ,143.0,['2025-11-07'],
AVANIR PHARMACEUTICALS,521.0,"['2014-04-01', '2014-06-30', '2019-11-27', '2022-11-01', '2023-08-01']",
AVANT GARDNER,53.0,['2020-03-20'],
AVANTAGE ENTERTAI...,5.0,['2020-04-03'],
AVANTARA,98.0,"['2022-03-31', '2022-08-08']",
AVANTE ASSISTED LIVING FACILITIES,157.0,['2020-03-02'],
"AVANTE AT AT REIDSVILLE, INC.",95.0,['2018-03-28'],MU
"AVANTE AT CHARLOTTE, INC.",82.0,['2018-03-28'],MU
AVANTE AT THOMASVILLE INC,64.0,['2018-03-28'],
"AVANTE AT WILKESBORO, INC.",218.0,"['2010-03-12', '2010-05-04', '2010-07-07', '2010-10-12', '2011-03-02', '2018-03-28']",MU
"AVANTE CARE OF HOLLYWOOD, INC. D/B/A MAJESTIC MEMORY CARE CENTER",42.0,['2022-05-31'],
"AVANTE CARE OF LAUDERHILL, INC. D/B/A THE LENOX ON THE LAKE",91.0,['2022-05-31'],
AVANTE-HARRISONBURG,79.0,['2018-03-28'],
AVANTE-LYNCHBURG,92.0,['2018-03-28'],
AVANTE-ROANOKE,78.0,['2018-03-28'],
AVANTE-WAYNESBORO,98.0,['2018-03-28'],
AVANTI INSTALLATION,52.0,['2025-12-15'],
